/usr/bin/python3.8 /home/harald/eclipse_workspaces/ThetaMonitorNetwork/SBC/ThetaMonitorSerial/ThetaMonitorSerial.py 
[INFO   ]  ThetaMonitor v000.001.001
[INFO   ]  Settings comment: Theta Monitor GUI
[INFO   ]  working dir is: 'data'
[INFO   ]  logLevel is: 'debug'
Thread-name: Thread-1

sd: [0, 1, 0, 0, 0, 107, 19, 88, 188, 0, 128, 159, 65, 13, 11, 24, 0, 146]
sd: [0, 1, 0, 0, 0, 165, 221, 121, 181, 0, 128, 156, 65, 13, 11, 24, 0, 91]
sd: [0, 1, 0, 0, 0, 147, 103, 165, 50, 195, 245, 156, 65, 14, 11, 24, 0, 149]
sd: [0, 1, 0, 0, 0, 36, 253, 200, 238, 0, 219, 97, 66, 14, 11, 24, 0, 145]
sd: [0, 1, 0, 0, 0, 74, 79, 191, 142, 0, 128, 110, 68, 14, 11, 24, 0, 213]

mn: [0, 1, 0, 0, 0, 197, 242, 158, 212, 0, 128, 153, 65, 13, 8, 24, 0, 155]
mn: [0, 1, 0, 0, 0, 197, 242, 158, 212, 0, 128, 153, 65, 13, 8, 24, 0, 155]
mn: [0, 1, 0, 0, 0, 135, 1, 212, 227, 0, 0, 159, 65, 13, 8, 24, 0, 203]
mn: [0, 1, 0, 0, 0, 133, 80, 222, 208, 0, 128, 159, 65, 13, 8, 24, 0, 55]
mn: [0, 1, 0, 0, 0, 100, 100, 75, 85, 0, 128, 156, 65, 13, 11, 24, 0, 124]
mn: [0, 1, 0, 0, 0, 4, 121, 146, 1, 0, 128, 152, 65, 13, 11, 24, 0, 38]
mn: [0, 1, 0, 0, 0, 107, 19, 88, 188, 0, 128, 159, 65, 13, 11, 24, 0, 146]
mn: [0, 1, 0, 0, 0, 165, 221, 121, 181, 0, 128, 156, 65, 13, 11, 24, 0, 91]
mn: [0, 1, 0, 0, 0, 147, 103, 165, 50, 195, 245, 156, 65, 14, 11, 24, 0, 149]
mn: [0, 1, 0, 0, 0, 36, 253, 200, 238, 0, 219, 97, 66, 14, 11, 24, 0, 145]
mn: [0, 1, 0, 0, 0, 74, 79, 191, 142, 0, 128, 110, 68, 14, 11, 24, 0, 213]
mn: [0, 1, 0, 0, 0, 197, 242, 158, 212, 0, 128, 153, 65, 13, 8, 24, 0, 155]
mn: [0, 1, 0, 0, 0, 197, 242, 158, 212, 0, 128, 153, 65, 13, 8, 24, 0, 155]
mn: [0, 1, 0, 0, 0, 135, 1, 212, 227, 0, 0, 159, 65, 13, 8, 24, 0, 203]
mn: [0, 1, 0, 0, 0, 133, 80, 222, 208, 0, 128, 159, 65, 13, 8, 24, 0, 55]
mn: [0, 1, 0, 0, 0, 100, 100, 75, 85, 0, 128, 156, 65, 13, 11, 24, 0, 124]
mn: [0, 1, 0, 0, 0, 4, 121, 146, 1, 0, 128, 152, 65, 13, 11, 24, 0, 38]
mn: [0, 1, 0, 0, 0, 107, 19, 88, 188, 0, 128, 159, 65, 13, 11, 24, 0, 146]
mn: [0, 1, 0, 0, 0, 165, 221, 121, 181, 0, 128, 156, 65, 13, 11, 24, 0, 91]
mn: [0, 1, 0, 0, 0, 147, 103, 165, 50, 195, 245, 156, 65, 14, 11, 24, 0, 149]
mn: [0, 1, 0, 0, 0, 36, 253, 200, 238, 0, 219, 97, 66, 14, 11, 24, 0, 145]
mn: [0, 1, 0, 0, 0, 74, 79, 191, 142, 0, 128, 110, 68, 14, 11, 24, 0, 213]

sd: [0, 1, 0, 0, 0, 101, 204, 222, 115, 0, 128, 155, 65, 13, 8, 24, 0, 155]
sd: [0, 1, 0, 0, 0, 197, 242, 158, 212, 0, 128, 153, 65, 13, 8, 24, 0, 155]
sd: [0, 1, 0, 0, 0, 135, 1, 212, 227, 0, 0, 159, 65, 13, 8, 24, 0, 203]
sd: [0, 1, 0, 0, 0, 133, 80, 222, 208, 0, 128, 159, 65, 13, 8, 24, 0, 55]
sd: [0, 1, 0, 0, 0, 100, 100, 75, 85, 0, 128, 156, 65, 13, 11, 24, 0, 124]
sd: [0, 1, 0, 0, 0, 4, 121, 146, 1, 0, 128, 152, 65, 13, 11, 24, 0, 38]
sd: [0, 1, 0, 0, 0, 107, 19, 88, 188, 0, 128, 159, 65, 13, 11, 24, 0, 146]
sd: [0, 1, 0, 0, 0, 165, 221, 121, 181, 0, 128, 156, 65, 13, 11, 24, 0, 91]
sd: [0, 1, 0, 0, 0, 147, 103, 165, 50, 195, 245, 156, 65, 14, 11, 24, 0, 149]
sd: [0, 1, 0, 0, 0, 36, 253, 200, 238, 0, 219, 97, 66, 14, 11, 24, 0, 145]
sd: [0, 1, 0, 0, 0, 74, 79, 191, 142, 0, 128, 110, 68, 14, 11, 24, 0, 213]

mn: [0, 1, 0, 0, 0, 197, 242, 158, 212, 0, 128, 153, 65, 13, 8, 24, 0, 155]
mn: [0, 1, 0, 0, 0, 197, 242, 158, 212, 0, 128, 153, 65, 13, 8, 24, 0, 155]
mn: [0, 1, 0, 0, 0, 135, 1, 212, 227, 0, 0, 159, 65, 13, 8, 24, 0, 203]
mn: [0, 1, 0, 0, 0, 133, 80, 222, 208, 0, 128, 159, 65, 13, 8, 24, 0, 55]
mn: [0, 1, 0, 0, 0, 100, 100, 75, 85, 0, 128, 156, 65, 13, 11, 24, 0, 124]
mn: [0, 1, 0, 0, 0, 4, 121, 146, 1, 0, 128, 152, 65, 13, 11, 24, 0, 38]
mn: [0, 1, 0, 0, 0, 107, 19, 88, 188, 0, 128, 159, 65, 13, 11, 24, 0, 146]
mn: [0, 1, 0, 0, 0, 165, 221, 121, 181, 0, 128, 156, 65, 13, 11, 24, 0, 91]
mn: [0, 1, 0, 0, 0, 147, 103, 165, 50, 195, 245, 156, 65, 14, 11, 24, 0, 149]
mn: [0, 1, 0, 0, 0, 36, 253, 200, 238, 0, 219, 97, 66, 14, 11, 24, 0, 145]
mn: [0, 1, 0, 0, 0, 74, 79, 191, 142, 0, 128, 110, 68, 14, 11, 24, 0, 213]

sd: [0, 1, 0, 0, 0, 101, 204, 222, 115, 0, 128, 155, 65, 13, 8, 24, 0, 155]
sd: [0, 1, 0, 0, 0, 197, 242, 158, 212, 0, 128, 153, 65, 13, 8, 24, 0, 155]
sd: [0, 1, 0, 0, 0, 135, 1, 212, 227, 0, 0, 159, 65, 13, 8, 24, 0, 203]
sd: [0, 1, 0, 0, 0, 133, 80, 222, 208, 0, 128, 159, 65, 13, 8, 24, 0, 55]
sd: [0, 1, 0, 0, 0, 100, 100, 75, 85, 0, 128, 156, 65, 13, 11, 24, 0, 124]
sd: [0, 1, 0, 0, 0, 4, 121, 146, 1, 0, 128, 152, 65, 13, 11, 24, 0, 38]
sd: [0, 1, 0, 0, 0, 107, 19, 88, 188, 0, 128, 159, 65, 13, 11, 24, 0, 146]
sd: [0, 1, 0, 0, 0, 165, 221, 121, 181, 0, 128, 156, 65, 13, 11, 24, 0, 91]
sd: [0, 1, 0, 0, 0, 147, 103, 165, 50, 195, 245, 17, 2, 18, 0, 1, 0, 0]
sd: [0, 1, 0, 0, 0, 197, 242, 158, 212, 0, 128, 153, 65, 13, 8, 24, 0, 155]
sd: [0, 1, 0, 0, 0, 135, 1, 212, 227, 0, 0, 159, 65, 13, 8, 24, 0, 203]
sd: [0, 1, 0, 0, 0, 133, 80, 222, 208, 0, 128, 159, 65, 13, 8, 24, 0, 55]
sd: [0, 1, 0, 0, 0, 100, 100, 75, 85, 0, 128, 156, 65, 13, 11, 24, 0, 124]
sd: [0, 1, 0, 0, 0, 4, 121, 146, 1, 0, 128, 152, 65, 13, 11, 24, 0, 38]
sd: [0, 1, 0, 0, 0, 107, 19, 88, 188, 0, 128, 159, 65, 13, 11, 24, 0, 146]
sd: [0, 1, 0, 0, 0, 165, 221, 121, 181, 0, 128, 156, 65, 13, 11, 24, 0, 91]
sd: [0, 1, 0, 0, 0, 147, 103, 165, 50, 195, 245, 156, 65, 14, 11, 24, 0, 149]
sd: [0, 1, 0, 0, 0, 36, 253, 200, 238, 0, 219, 97, 66, 14, 11, 24, 0, 145]
sd: [0, 1, 0, 0, 0, 74, 79, 191, 142, 0, 128, 110, 68, 14, 11, 24, 0, 213]
sd: [0, 1, 0, 0, 0, 101, 204, 222, 115, 0, 128, 155, 65, 13, 8, 24, 0, 155]
sd: [0, 1, 0, 0, 0, 197, 242, 158, 212, 0, 128, 153, 65, 13, 8, 24, 0, 155]
sd: [0, 1, 0, 0, 0, 135, 1, 212, 227, 0, 0, 159, 65, 13, 8, 24, 0, 203]
sd: [0, 1, 0, 0, 0, 133, 80, 222, 208, 0, 128, 159, 65, 13, 8, 24, 0, 55]
sd: [0, 1, 0, 0, 0, 100, 100, 75, 85, 0, 128, 156, 65, 13, 11, 24, 0, 124]
sd: [0, 1, 0, 0, 0, 4, 121, 146, 1, 0, 128, 152, 65, 13, 11, 24, 0, 38]
sd: [0, 1, 0, 0, 0, 107, 19, 88, 188, 0, 128, 159, 65, 13, 11, 24, 0, 146]
sd: [0, 1, 0, 0, 0, 165, 221, 121, 181, 0, 128, 156, 65, 13, 11, 24, 0, 91]
sd: [0, 1, 0, 0, 0, 147, 103, 165, 50, 195, 245, 156, 65, 14, 11, 24, 0, 149]
sd: [0, 1, 0, 0, 0, 36, 253, 200, 238, 0, 219, 97, 66, 14, 11, 24, 0, 145]
sd: [0, 1, 0, 0, 0, 74, 79, 191, 142, 0, 128, 110, 68, 14, 11, 24, 0, 213]

mn: [0, 1, 0, 0, 0, 101, 204, 222, 115, 0, 128, 155, 65, 13, 8, 24, 0, 155]
mn: [0, 1, 0, 0, 0, 197, 242, 158, 212, 0, 128, 153, 65, 13, 8, 24, 0, 155]
mn: [0, 1, 0, 0, 0, 135, 1, 212, 227, 0, 0, 159, 65, 13, 8, 24, 0, 203]
mn: [0, 1, 0, 0, 0, 133, 80, 222, 208, 0, 128, 159, 65, 13, 8, 24, 0, 55]
mn: [0, 1, 0, 0, 0, 100, 100, 75, 85, 0, 128, 156, 65, 13, 11, 24, 0, 124]
mn: [0, 1, 0, 0, 0, 4, 121, 146, 1, 0, 128, 152, 65, 13, 11, 24, 0, 38]
mn: [0, 1, 0, 0, 0, 107, 19, 88, 188, 0, 128, 159, 65, 13, 11, 24, 0, 146]
mn: [0, 1, 0, 0, 0, 165, 221, 121, 181, 0, 128, 156, 65, 13, 11, 24, 0, 91]
mn: [0, 1, 0, 0, 0, 147, 103, 165, 50, 195, 245, 17, 2, 18, 0, 1, 0, 0]
mn: [0, 1, 0, 0, 0, 197, 242, 158, 212, 0, 128, 153, 65, 13, 8, 24, 0, 155]
mn: [0, 1, 0, 0, 0, 135, 1, 212, 227, 0, 0, 159, 65, 13, 8, 24, 0, 203]
mn: [0, 1, 0, 0, 0, 133, 80, 222, 208, 0, 128, 159, 65, 13, 8, 24, 0, 55]
mn: [0, 1, 0, 0, 0, 100, 100, 75, 85, 0, 128, 156, 65, 13, 11, 24, 0, 124]
mn: [0, 1, 0, 0, 0, 4, 121, 146, 1, 0, 128, 152, 65, 13, 11, 24, 0, 38]
mn: [0, 1, 0, 0, 0, 107, 19, 88, 188, 0, 128, 159, 65, 13, 11, 24, 0, 146]
mn: [0, 1, 0, 0, 0, 165, 221, 121, 181, 0, 128, 156, 65, 13, 11, 24, 0, 91]
mn: [0, 1, 0, 0, 0, 147, 103, 165, 50, 195, 245, 156, 65, 14, 11, 24, 0, 149]
mn: [0, 1, 0, 0, 0, 36, 253, 200, 238, 0, 219, 97, 66, 14, 11, 24, 0, 145]
mn: [0, 1, 0, 0, 0, 74, 79, 191, 142, 0, 128, 110, 68, 14, 11, 24, 0, 213]
mn: [0, 1, 0, 0, 0, 197, 242]
mn: [0, 1, 0, 0, 0, 135, 1, 212, 227, 0, 0, 159, 65, 13, 8, 24, 0, 203]
mn: [0, 1, 0, 0, 0, 133, 80, 222, 208, 0, 128, 159, 65, 13, 8, 24, 0, 55]
mn: [0, 1, 0, 0, 0, 133, 80, 222, 208, 0, 128, 159, 65, 13, 8, 24, 0, 55]
mn: [0, 1, 0, 0, 0, 100, 100, 75, 85, 0, 128, 156, 65, 13, 11, 24, 0, 124]
mn: [0, 1, 0, 0, 0, 4, 121, 146, 1, 0, 128, 152, 65, 13, 11, 24, 0, 38]
mn: [0, 1, 0, 0, 0, 107, 19, 88, 188, 0, 128, 159, 65, 13, 11, 24, 0, 146]
mn: [0, 1, 0, 0, 0, 165, 221, 121, 181, 0, 128, 156, 65, 13, 11, 24, 0, 91]
mn: [0, 1, 0, 0, 0, 147, 103, 165, 50, 195, 245, 156, 65, 14, 11, 24, 0, 149]
mn: [0, 1, 0, 0, 0, 36, 253, 200, 238, 0, 219, 97, 66, 14, 11, 24, 0, 145]
mn: [0, 1, 0, 0, 0, 74, 79, 191, 142, 0, 128, 110, 68, 14, 11, 24, 0, 213]

sd: [0, 1, 0, 0, 0, 101, 204, 222, 115, 0, 0, 157, 65, 160, 33, 24, 0, 134]
sd: [0, 1, 0, 0, 0, 197, 242, 158, 212, 0, 128, 152, 65, 160, 33, 24, 0, 23]
sd: [0, 1, 0, 0, 0, 135, 1, 212, 227, 0, 0, 159, 65, 160, 33, 24, 0, 65]
sd: [0, 1, 0, 0, 0, 133, 80, 222, 208, 0, 128, 159, 65, 160, 33, 24, 0, 189]
sd: [0, 1, 0, 0, 0, 100, 100, 75, 85, 0, 128, 156, 65, 13, 11, 24, 0, 124]
sd: [0, 1, 0, 0, 0, 4, 121, 146, 1, 0, 128, 152, 65, 13, 11, 24, 0, 38]
sd: [0, 1, 0, 0, 0, 107, 19, 88, 188, 0, 128, 159, 65, 13, 11, 24, 0, 146]
sd: [0, 1, 0, 0, 0, 165, 221, 121, 17, 2, 18, 0, 1, 0, 0, 0, 101, 204]
sd: [0, 1, 0, 0, 0, 197, 242, 158, 212, 0, 128, 152, 65, 160, 33, 24, 0, 23]
sd: [0, 1, 0, 0, 0, 135, 1, 212, 227, 0, 0, 159, 65, 160, 33, 24, 0, 65]
sd: [0, 1, 0, 0, 0, 133, 80, 222, 208, 0, 128, 159, 65, 160, 33, 24, 0, 189]
sd: [0, 1, 0, 0, 0, 100, 100, 75, 85, 0, 128, 156, 65, 13, 11, 24, 0, 124]
sd: [0, 1, 0, 0, 0, 4, 121, 146, 1, 0, 128, 152, 65, 13, 11, 24, 0, 38]
sd: [0, 1, 0, 0, 0, 107, 19, 88, 188, 0, 128, 159, 65, 13, 11, 24, 0, 146]
sd: [0, 1, 0, 0, 0, 165, 221, 121, 181, 0, 128, 156, 65, 13, 11, 24, 0, 91]
sd: [0, 1, 0, 0, 0, 147, 103, 165, 50, 195, 245, 17, 2, 18, 0, 1, 0, 0]
sd: [0, 1, 0, 0, 0, 197, 242, 158, 212, 0, 128, 152, 65, 160, 33, 24, 0, 23]
sd: [0, 1, 0, 0, 0, 135, 1, 212, 227, 0, 0, 159, 65, 160, 33, 24, 0, 65]
sd: [0, 1, 0, 0, 0, 133, 80, 222, 208, 0, 128, 159, 65, 160, 33, 24, 0, 189]
sd: [0, 1, 0, 0, 0, 100, 100, 75, 85, 0, 128, 156, 65, 13, 11, 24, 0, 124]
sd: [0, 1, 0, 0, 0, 4, 121, 146, 1, 0, 128, 152, 65, 13, 11, 24, 0, 38]
sd: [0, 1, 0, 0, 0, 107, 19, 88, 188, 0, 128, 159, 65, 13, 11, 24, 0, 146]
sd: [0, 1, 0, 0, 0, 165, 221, 121, 181, 0, 128, 156, 65, 13, 11, 24, 0, 91]
sd: [0, 1, 0, 0, 0, 147, 103, 165, 50, 195, 245, 156, 65, 14, 11, 24, 0, 149]
sd: [0, 1, 0, 0, 0, 36, 253, 200, 238, 0, 219, 97, 66, 14, 11, 24, 0, 145]
sd: [0, 1, 0, 0, 0, 74, 79, 191, 142, 0, 128, 110, 68, 14, 11, 24, 0, 213]
 
mn: [0, 1, 0, 0, 0, 197, 242, 158, 212, 0, 128, 152, 65, 160, 33, 24, 0, 23]
mn: [0, 1, 0, 0, 0, 197, 242, 158, 212, 0, 128, 152, 65, 160, 33, 24, 0, 23]
mn: [0, 1, 0, 0, 0, 135, 1, 212, 227, 0, 0, 159, 65, 160, 33, 24, 0, 65]
mn: [0, 1, 0, 0, 0, 133, 80, 222, 208, 0, 128, 159, 65, 160, 33, 24, 0, 189]
mn: [0, 1, 0, 0, 0, 4, 121, 146, 1, 0, 128, 152, 65, 13, 11, 24, 0, 38]
mn: [0, 1, 0, 0, 0, 4, 121, 146, 1, 0, 128, 152, 65, 13, 11, 24, 0, 38]
mn: [0, 1, 0, 0, 0, 107, 19, 88, 188, 0, 128, 159, 65, 13, 11, 24, 0, 146]
mn: [0, 1, 0, 0, 0, 165, 221, 121, 17, 2, 18, 0, 1, 0, 0, 0, 101, 204]
mn: [0, 1, 0, 0, 0, 197, 242, 158, 212, 0, 128, 152, 65, 160, 33, 24, 0, 23]
mn: [0, 1, 0, 0, 0, 135, 1, 212, 227, 0, 0, 159, 65, 160, 33, 24, 0, 65]
mn: [0, 1, 0, 0, 0, 133, 80, 222, 208, 0, 128, 159, 65, 160, 33, 24, 0, 189]
mn: [0, 1, 0, 0, 0, 100, 100, 75, 85, 0, 128, 156, 65, 13, 11, 24, 0, 124]
mn: [0, 1, 0, 0, 0, 4, 121, 146, 1, 0, 128, 152, 65, 13, 11, 24, 0, 38]
mn: [0, 1, 0, 0, 0, 107, 19, 88, 188, 0, 128, 159, 65, 13, 11, 24, 0, 146]
mn: [0, 1, 0, 0, 0, 165, 221, 121, 181, 0, 128, 156, 65, 13, 11, 24, 0, 91]
mn: [0, 1, 0, 0, 0, 147, 103, 165, 50, 195, 245, 17, 2, 18, 0, 1, 0, 0]
mn: [0, 1, 0, 0, 0, 197, 242, 158, 212, 0, 128, 152, 65, 160, 33, 24, 0, 23]
mn: [0, 1, 0, 0, 0, 135, 1, 212, 227, 0, 0, 159, 65, 160, 33, 24, 0, 65]
mn: [0, 1, 0, 0, 0, 133, 80, 222, 208, 0, 128, 159, 65, 160, 33, 24, 0, 189]
mn: [0, 1, 0, 0, 0, 100, 100, 75, 85, 0, 128, 156, 65, 13, 11, 24, 0, 124]
mn: [0, 1, 0, 0, 0, 4, 121, 146, 1, 0, 128, 152, 65, 13, 11, 24, 0, 38]
mn: [0, 1, 0, 0, 0, 107, 19, 88, 188, 0, 128, 159, 65, 13, 11, 24, 0, 146]
mn: [0, 1, 0, 0, 0, 165, 221, 121, 181, 0, 128, 156, 65, 13, 11, 24, 0, 91]
mn: [0, 1, 0, 0, 0, 147, 103, 165, 50, 195, 245, 156, 65, 14, 11, 24, 0, 149]
mn: [0, 1, 0, 0, 0, 36, 253, 200, 238, 0, 219, 97, 66, 14, 11, 24, 0, 145]
mn: [0, 1, 0, 0, 0, 74, 79, 191, 142, 0, 128, 110, 68, 14, 11, 24, 0, 213]

sd: [0, 1, 0, 0, 0, 101, 204, 222, 115, 0, 0, 157, 65, 160, 33, 24, 0, 134]
sd: [0, 1, 0, 0, 0, 197, 242, 158, 212, 0, 128, 152, 65, 160, 33, 24, 0, 23]
sd: [0, 1, 0, 0, 0, 135, 1, 212, 227, 0, 0, 159, 65, 160, 33, 24, 0, 65]
sd: [0, 1, 0, 0, 0, 133, 80, 222, 208, 0, 128, 159, 65, 160, 33, 24, 0, 189]
sd: [0, 1, 0, 0, 0, 100, 100, 75, 85, 0, 0, 156, 65, 160, 36, 24, 0, 164]
sd: [0, 1, 0, 0, 0, 4, 121, 146, 1, 0, 0, 153, 65, 160, 36, 24, 0, 248]
sd: [0, 1, 0, 0, 0, 107, 19, 88, 188, 0, 128, 159, 65, 160, 36, 24, 0, 201]
sd: [0, 1, 0, 0, 0, 165, 221, 121, 181, 0, 128, 156, 65, 160, 36, 24, 0, 0]
sd: [0, 1, 0, 0, 0, 147, 103, 165, 50, 195, 245, 156, 65, 161, 36, 24, 0, 62]
sd: [0, 1, 0, 0, 0, 36, 253, 200, 238, 0, 44, 98, 66, 161, 36, 24, 0, 29]
sd: [0, 1, 0, 0, 0, 74, 79, 191, 142, 225, 122, 110, 68, 161, 36, 24, 0, 137]

mn: [0, 1, 0, 0, 0, 197, 242, 158, 212, 0, 128, 152, 65, 160, 33, 24, 0, 23]
mn: [0, 1, 0, 0, 0, 197, 242, 158, 212, 0, 128, 152, 65, 160, 33, 24, 0, 23]
mn: [0, 1, 0, 0, 0, 135, 1, 212, 227, 0, 0, 159, 65, 160, 33, 24, 0, 65]
mn: [0, 1, 0, 0, 0, 133, 80, 222, 208, 0, 128, 159, 65, 160, 33, 24, 0, 189]
mn: [0, 1, 0, 0, 0, 100, 100, 75, 85, 0, 0, 156, 65, 160, 36, 24, 0, 164]
mn: [0, 1, 0, 0, 0, 4, 121, 146, 1, 0, 0, 153, 65, 160, 36, 24, 0, 248]
mn: [0, 1, 0, 0, 0, 107, 19, 88, 188, 0, 128, 159, 65, 160, 36, 24, 0, 201]
mn: [0, 1, 0, 0, 0, 165, 221, 121, 181, 0, 128, 156, 65, 160, 36, 24, 0, 0]
mn: [0, 1, 0, 0, 0, 147, 103, 165, 50, 195, 245, 156, 65, 161, 36, 24, 0, 62]
mn: [0, 1, 0, 0, 0, 36, 253, 200, 238, 0, 44, 98, 66, 161, 36, 24, 0, 29]
mn: [0, 1, 0, 0, 0, 74, 79, 191, 142, 225, 122, 110, 68, 161, 36, 24, 0, 137]

sd: [0, 1, 0, 0, 0, 101, 204, 222, 115, 0, 0, 157, 65, 160, 33, 24, 0, 134]
sd: [0, 1, 0, 0, 0, 197, 242, 158, 212, 0, 128, 152, 65, 160, 33, 24, 0, 23]
sd: [0, 1, 0, 0, 0, 135, 1, 212, 227, 0, 0, 159, 65, 160, 33, 24, 0, 65]
sd: [0, 1, 0, 0, 0, 133, 80, 222, 208, 0, 128, 159, 65, 160, 33, 24, 0, 189]
sd: [0, 1, 0, 0, 0, 100, 100, 75, 85, 0, 0, 156, 65, 160, 36, 24, 0, 164]
sd: [0, 1, 0, 0, 0, 4, 121, 146, 1, 0, 0, 153, 65, 160, 36, 24, 0, 248]
sd: [0, 1, 0, 0, 0, 107, 19, 88, 188, 0, 128, 159, 65, 160, 36, 24, 0, 201]
sd: [0, 1, 0, 0, 0, 165, 221, 121, 181, 0, 128, 156, 65, 160, 36, 24, 0, 0]
sd: [0, 1, 0, 0, 0, 147, 103, 165, 50, 195, 245, 156, 65, 161, 36, 24, 0, 62]
sd: [0, 1, 0, 0, 0, 36, 253, 200, 238, 0, 44, 98, 66, 161, 36, 24, 0, 29]
sd: [0, 1, 0, 0, 0, 74, 79, 191, 142, 225, 122, 110, 68, 161, 36, 24, 0, 137]
sd: [0, 1, 0, 0, 0, 101, 204, 222, 115, 0, 0, 157, 65, 160, 33, 24, 0, 134]
sd: [0, 1, 0, 0, 0, 197, 242, 158, 212, 0, 128, 152, 65, 160, 33, 24, 0, 23]
